,base_market,quote_market,hedge_ratio,half_life
369,COMP-USD,HBAR-USD,30.42510419683885,14.772644415088003
370,COMP-USD,OKB-USD,-0.118748912665612,15.94493576815331
371,COMP-USD,WIF-USD,3.442886000622086,12.558421963619432
372,COMP-USD,IMX-USD,8.159292626701422,15.519388266280465
373,COMP-USD,VET-USD,-205.19128674805154,14.209002360782046
374,COMP-USD,GRT-USD,125.48385718986475,10.90437365825574
375,COMP-USD,TAO-USD,0.004009389511507434,14.785741631811861
376,COMP-USD,AR-USD,-0.08425382149775787,14.20416479885373
377,COMP-USD,FLOKI-USD,125874.14119432046,11.919408709659324
378,COMP-USD,THETA-USD,-3.4486792822208976,14.763491786893919
379,COMP-USD,FTM-USD,-28.368509274637383,14.69167159414621
380,COMP-USD,AAVE-USD,0.13038224055411973,10.43227422038416
381,COMP-USD,RUNE-USD,4.222718407537361,10.933651113396483
382,COMP-USD,NOT-USD,-279.73806933330076,14.772885190298387
383,COMP-USD,FLR-USD,-62.18869398450633,14.957732640822316
384,COMP-USD,FLOW-USD,74.53941338337528,11.017575394264973
385,COMP-USD,STRK-USD,41.23306111887817,9.29581245774835
386,COMP-USD,TRUMPWIN-USD,13.338262169776934,13.651336387097642
387,COMP-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-6865863.134967813,13.876409496611274
388,COMP-USD,TRY-USD,-779.1186287936531,14.537632409590016
389,APE-USD,APT-USD,0.013061120353441981,18.151938868981382
390,APE-USD,BLUR-USD,1.3114644514991016,19.412941073354435
391,APE-USD,SUI-USD,0.07486230037347515,18.93912093512156
392,APE-USD,TIA-USD,0.04190529293711065,18.331645115936492
